 table_schema |        table_name         |          column_name          |          data_type          | character_maximum_length | is_nullable |           column_default            
 public       | pvp_history               | modelo                        | character varying           |                      100 | NO          | 
 public       | pvp_history               | serie                         | character varying           |                      100 | YES         | 
 public       | pvp_history               | anio                          | integer                     |                          | YES         | 
 public       | pvp_history               | hour                          | integer                     |                          | YES         | 
 public       | pvp_history               | precio                        | numeric                     |                          | YES         | 
 public       | pvp_history               | inland                        | numeric                     |                          | YES         | 
 public       | pvp_history               | cif_usd                       | numeric                     |                          | YES         | 
 public       | pvp_history               | cif                           | numeric                     |                          | YES         | 
 public       | pvp_history               | gastos_pto                    | numeric                     |                          | YES         | 
 public       | pvp_history               | flete                         | numeric                     |                          | YES         | 
 public       | pvp_history               | trasld                        | numeric                     |                          | YES         | 
 public       | pvp_history               | rptos                         | numeric                     |                          | YES         | 
 public       | pvp_history               | proyectado                    | numeric                     |                          | YES         | 
 public       | pvp_history               | pvp_est                       | numeric                     |                          | YES         | 
 public       | pvp_history               | notas                         | text                        |                          | YES         | 
 public       | pvp_history               | imported_at                   | timestamp without time zone |                          | YES         | now()
 public       | pvp_history               | imported_by                   | uuid                        |                          | YES         | 
 public       | pvp_history               | created_at                    | timestamp without time zone |                          | YES         | now()
 public       | pvp_history               | updated_at                    | timestamp without time zone |                          | YES         | now()
 public       | pvp_history               | fecha                         | integer                     |                          | YES         | 
 public       | service_records           | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | service_records           | purchase_id                   | uuid                        |                          | YES         | 
 public       | service_records           | supplier_name                 | text                        |                          | YES         | 
 public       | service_records           | model                         | text                        |                          | YES         | 
 public       | service_records           | serial                        | text                        |                          | YES         | 
 public       | service_records           | shipment_departure_date       | date                        |                          | YES         | 
 public       | service_records           | shipment_arrival_date         | date                        |                          | YES         | 
 public       | service_records           | port_of_destination           | text                        |                          | YES         | 
 public       | service_records           | nationalization_date          | date                        |                          | YES         | 
 public       | service_records           | current_movement              | text                        |                          | YES         | 
 public       | service_records           | current_movement_date         | date                        |                          | YES         | 
 public       | service_records           | year                          | integer                     |                          | YES         | 
 public       | service_records           | hours                         | integer                     |                          | YES         | 
 public       | service_records           | start_staging                 | date                        |                          | YES         | 
 public       | service_records           | end_staging                   | date                        |                          | YES         | 
 public       | service_records           | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | service_records           | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | service_records           | created_by                    | uuid                        |                          | YES         | 
 public       | service_records           | condition                     | character varying           |                       20 | YES         | 'USADO'::character varying
 public       | service_records           | service_value                 | numeric                     |                          | YES         | 0
 public       | service_records           | staging_type                  | character varying           |                       20 | YES         | NULL::character varying
 public       | service_records           | new_purchase_id               | uuid                        |                          | YES         | 
 public       | shipping                  | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | shipping                  | purchase_id                   | uuid                        |                          | NO          | 
 public       | shipping                  | departure_date                | date                        |                          | YES         | 
 public       | shipping                  | estimated_arrival             | date                        |                          | YES         | 
 public       | shipping                  | actual_arrival                | date                        |                          | YES         | 
 public       | shipping                  | carrier                       | text                        |                          | YES         | 
 public       | shipping                  | tracking_number               | text                        |                          | YES         | 
 public       | shipping                  | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | shipping                  | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | suppliers                 | id                            | uuid                        |                          | NO          | gen_random_uuid()
 public       | suppliers                 | name                          | text                        |                          | NO          | 
 public       | suppliers                 | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | suppliers                 | contact_email                 | text                        |                          | YES         | 
 public       | suppliers                 | phone                         | text                        |                          | YES         | 
 public       | suppliers                 | notes                         | text                        |                          | YES         | 
 public       | suppliers                 | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | users_profile             | id                            | uuid                        |                          | NO          | 
 public       | users_profile             | full_name                     | text                        |                          | NO          | 
 public       | users_profile             | role                          | text                        |                          | NO          | 
 public       | users_profile             | created_at                    | timestamp with time zone    |                          | YES         | now()
 public       | users_profile             | email                         | text                        |                          | YES         | 
 public       | users_profile             | updated_at                    | timestamp with time zone    |                          | YES         | now()
 public       | v_files_by_module         | machine_id                    | uuid                        |                          | YES         | 
 public       | v_files_by_module         | machine_model                 | text                        |                          | YES         | 
 public       | v_files_by_module         | machine_serial                | text                        |                          | YES         | 
 public       | v_files_by_module         | module                        | text                        |                          | YES         | 
 public       | v_files_by_module         | file_type                     | character varying           |                       50 | YES         | 
 public       | v_files_by_module         | total_files                   | bigint                      |                          | YES         | 
 public       | v_files_by_module         | files                         | json                        |                          | YES         | 
 public       | v_unified_purchases       | unified_id                    | text                        |                          | YES         | 
 public       | v_unified_purchases       | id                            | uuid                        |                          | YES         | 
 public       | v_unified_purchases       | source_table                  | text                        |                          | YES         | 
 public       | v_unified_purchases       | source_id                     | uuid                        |                          | YES         | 
 public       | v_unified_purchases       | mq                            | text                        |                          | YES         | 
 public       | v_unified_purchases       | supplier_name                 | text                        |                          | YES         | 
 public       | v_unified_purchases       | model                         | text                        |                          | YES         | 
 public       | v_unified_purchases       | serial                        | text                        |                          | YES         | 
 public       | v_unified_purchases       | brand                         | character varying           |                      100 | YES         | 
 public       | v_unified_purchases       | condition                     | character varying           |                          | YES         | 
 public       | v_unified_purchases       | invoice_date                  | date                        |                          | YES         | 
 public       | v_unified_purchases       | payment_date                  | date                        |                          | YES         | 
 public       | v_unified_purchases       | shipment_departure_date       | date                        |                          | YES         | 
 public       | v_unified_purchases       | shipment_arrival_date         | date                        |                          | YES         | 
 public       | v_unified_purchases       | nationalization_date          | date                        |                          | YES         | 
 public       | v_unified_purchases       | port_of_destination           | text                        |                          | YES         | 
 public       | v_unified_purchases       | current_movement              | text                        |                          | YES         | 
 public       | v_unified_purchases       | current_movement_date         | date                        |                          | YES         | 
 public       | v_unified_purchases       | mc                            | character varying           |                       50 | YES         | 
 public       | v_unified_purchases       | pvp_est                       | numeric                     |                          | YES         | 
 public       | v_unified_purchases       | exw_value                     | numeric                     |                          | YES         | 
 public       | v_unified_purchases       | fob_value                     | numeric                     |                          | YES         | 
 public       | v_unified_purchases       | incoterm                      | text                        |                          | YES         | 
 public       | v_unified_purchases       | currency                      | text                        |                          | YES         | 
 public       | v_unified_purchases       | purchase_type                 | text                        |                          | YES         | 
 public       | v_unified_purchases       | payment_status                | text                        |                          | YES         | 
 public       | v_unified_purchases       | machine_id                    | uuid                        |                          | YES         | 
 public       | v_unified_purchases       | auction_id                    | uuid                        |                          | YES         | 
 public       | v_unified_purchases       | supplier_id                   | text                        |                          | YES         | 
 public       | v_unified_purchases       | year                          | integer                     |                          | YES         | 
 public       | v_unified_purchases       | hours                         | integer                     |                          | YES         | 
 public       | v_unified_purchases       | created_at                    | timestamp with time zone    |                          | YES         | 
 public       | v_unified_purchases       | updated_at                    | timestamp with time zone    |                          | YES         | 
 public       | v_unified_purchases       | created_by                    | uuid                        |                          | YES         | 
(521 filas)

 table_schema |                      constraint_name                       |        table_name         |      column_name       | foreign_table_schema |    foreign_table_name     | foreign_column_name | constraint_type 
--------------+------------------------------------------------------------+---------------------------+------------------------+----------------------+---------------------------+---------------------+-----------------
 public       | auction_notification_sent_auction_id_fkey                  | auction_notification_sent | auction_id             | public               | auctions                  | id                  | FOREIGN KEY
 public       | auction_notification_sent_pkey                             | auction_notification_sent | id                     | public               | auction_notification_sent | id                  | PRIMARY KEY
 public       | auction_notification_sent_auction_id_notification_type_key | auction_notification_sent | auction_id             | public               | auction_notification_sent | auction_id          | UNIQUE
 public       | auction_notification_sent_auction_id_notification_type_key | auction_notification_sent | auction_id             | public               | auction_notification_sent | notification_type   | UNIQUE
 public       | auction_notification_sent_auction_id_notification_type_key | auction_notification_sent | notification_type      | public               | auction_notification_sent | auction_id          | UNIQUE
 public       | auction_notification_sent_auction_id_notification_type_key | auction_notification_sent | notification_type      | public               | auction_notification_sent | notification_type   | UNIQUE
 public       | auction_price_history_pkey                                 | auction_price_history     | id                     | public               | auction_price_history     | id                  | PRIMARY KEY
 public       | auctions_created_by_fkey                                   | auctions                  | created_by             |                      |                           |                     | FOREIGN KEY
 public       | auctions_machine_id_fkey                                   | auctions                  | machine_id             | public               | machines                  | id                  | FOREIGN KEY
 public       | auctions_pkey                                              | auctions                  | id                     | public               | auctions                  | id                  | PRIMARY KEY
 public       | change_logs_changed_by_fkey                                | change_logs               | changed_by             | public               | users_profile             | id                  | FOREIGN KEY
 public       | change_logs_pkey                                           | change_logs               | id                     | public               | change_logs               | id                  | PRIMARY KEY
 public       | additional_costs_purchase_id_fkey                          | cost_items                | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | additional_costs_pkey                                      | cost_items                | id                     | public               | cost_items                | id                  | PRIMARY KEY
 public       | currency_rates_pkey                                        | currency_rates            | id                     | public               | currency_rates            | id                  | PRIMARY KEY
 public       | currency_rates_date_pair_key                               | currency_rates            | date                   | public               | currency_rates            | pair                | UNIQUE
 public       | currency_rates_date_pair_key                               | currency_rates            | date                   | public               | currency_rates            | date                | UNIQUE
 public       | currency_rates_date_pair_key                               | currency_rates            | pair                   | public               | currency_rates            | pair                | UNIQUE
 public       | currency_rates_date_pair_key                               | currency_rates            | pair                   | public               | currency_rates            | date                | UNIQUE
 public       | equipment_reservations_approved_by_fkey                    | equipment_reservations    | approved_by            |                      |                           |                     | FOREIGN KEY
 public       | equipment_reservations_commercial_user_id_fkey             | equipment_reservations    | commercial_user_id     |                      |                           |                     | FOREIGN KEY
 public       | equipment_reservations_equipment_id_fkey                   | equipment_reservations    | equipment_id           | public               | equipments                | id                  | FOREIGN KEY
 public       | equipment_reservations_rejected_by_fkey                    | equipment_reservations    | rejected_by            |                      |                           |                     | FOREIGN KEY
 public       | equipment_reservations_pkey                                | equipment_reservations    | id                     | public               | equipment_reservations    | id                  | PRIMARY KEY
 public       | equipments_created_by_fkey                                 | equipments                | created_by             | public               | users_profile             | id                  | FOREIGN KEY
 public       | equipments_new_purchase_id_fkey                            | equipments                | new_purchase_id        | public               | new_purchases             | id                  | FOREIGN KEY
 public       | equipments_purchase_id_fkey                                | equipments                | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | equipments_pkey                                            | equipments                | id                     | public               | equipments                | id                  | PRIMARY KEY
 public       | machine_files_machine_id_fkey                              | machine_files             | machine_id             | public               | machines                  | id                  | FOREIGN KEY
 public       | machine_files_uploaded_by_fkey                             | machine_files             | uploaded_by            |                      |                           |                     | FOREIGN KEY
 public       | machine_files_pkey                                         | machine_files             | id                     | public               | machine_files             | id                  | PRIMARY KEY
 public       | machine_movements_created_by_fkey                          | machine_movements         | created_by             | public               | users_profile             | id                  | FOREIGN KEY
 public       | machine_movements_purchase_id_fkey                         | machine_movements         | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | machine_movements_pkey                                     | machine_movements         | id                     | public               | machine_movements         | id                  | PRIMARY KEY
 public       | machine_spec_defaults_pkey                                 | machine_spec_defaults     | id                     | public               | machine_spec_defaults     | id                  | PRIMARY KEY
 public       | machine_spec_defaults_brand_model_key                      | machine_spec_defaults     | brand                  | public               | machine_spec_defaults     | model               | UNIQUE
 public       | machine_spec_defaults_brand_model_key                      | machine_spec_defaults     | brand                  | public               | machine_spec_defaults     | brand               | UNIQUE
 public       | machine_spec_defaults_brand_model_key                      | machine_spec_defaults     | model                  | public               | machine_spec_defaults     | model               | UNIQUE
 public       | machine_spec_defaults_brand_model_key                      | machine_spec_defaults     | model                  | public               | machine_spec_defaults     | brand               | UNIQUE
 public       | machines_pkey                                              | machines                  | id                     | public               | machines                  | id                  | PRIMARY KEY
 public       | machines_serial_key                                        | machines                  | serial                 | public               | machines                  | serial              | UNIQUE
 public       | management_table_auction_id_fkey                           | management_table          | auction_id             | public               | auctions                  | id                  | FOREIGN KEY
 public       | management_table_machine_id_fkey                           | management_table          | machine_id             | public               | machines                  | id                  | FOREIGN KEY
 public       | management_table_purchase_id_fkey                          | management_table          | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | management_table_pkey                                      | management_table          | id                     | public               | management_table          | id                  | PRIMARY KEY
 public       | management_table_machine_id_key                            | management_table          | machine_id             | public               | management_table          | machine_id          | UNIQUE
 public       | model_specifications_created_by_fkey                       | model_specifications      | created_by             | public               | users_profile             | id                  | FOREIGN KEY
 public       | model_specifications_pkey                                  | model_specifications      | id                     | public               | model_specifications      | id                  | PRIMARY KEY
 public       | model_specifications_model_condition_key                   | model_specifications      | condition              | public               | model_specifications      | model               | UNIQUE
 public       | model_specifications_model_condition_key                   | model_specifications      | condition              | public               | model_specifications      | condition           | UNIQUE
 public       | model_specifications_model_condition_key                   | model_specifications      | model                  | public               | model_specifications      | condition           | UNIQUE
 public       | model_specifications_model_condition_key                   | model_specifications      | model                  | public               | model_specifications      | model               | UNIQUE
 public       | new_purchase_files_new_purchase_id_fkey                    | new_purchase_files        | new_purchase_id        | public               | new_purchases             | id                  | FOREIGN KEY
 public       | new_purchase_files_uploaded_by_fkey                        | new_purchase_files        | uploaded_by            |                      |                           |                     | FOREIGN KEY
 public       | new_purchase_files_pkey                                    | new_purchase_files        | id                     | public               | new_purchase_files        | id                  | PRIMARY KEY
 public       | new_purchases_created_by_fkey                              | new_purchases             | created_by             |                      |                           |                     | FOREIGN KEY
 public       | new_purchases_synced_to_equipment_id_fkey                  | new_purchases             | synced_to_equipment_id | public               | equipments                | id                  | FOREIGN KEY
 public       | new_purchases_pkey                                         | new_purchases             | id                     | public               | new_purchases             | id                  | PRIMARY KEY
 public       | new_purchases_model_serial_unique                          | new_purchases             | model                  | public               | new_purchases             | model               | UNIQUE
 public       | new_purchases_model_serial_unique                          | new_purchases             | model                  | public               | new_purchases             | serial              | UNIQUE
 public       | new_purchases_mq_key                                       | new_purchases             | mq                     | public               | new_purchases             | mq                  | UNIQUE
 public       | new_purchases_model_serial_unique                          | new_purchases             | serial                 | public               | new_purchases             | serial              | UNIQUE
 public       | new_purchases_model_serial_unique                          | new_purchases             | serial                 | public               | new_purchases             | model               | UNIQUE
 public       | notification_rules_pkey                                    | notification_rules        | id                     | public               | notification_rules        | id                  | PRIMARY KEY
 public       | notification_rules_rule_code_key                           | notification_rules        | rule_code              | public               | notification_rules        | rule_code           | UNIQUE
 public       | notifications_user_id_fkey                                 | notifications             | user_id                |                      |                           |                     | FOREIGN KEY
 public       | notifications_pkey                                         | notifications             | id                     | public               | notifications             | id                  | PRIMARY KEY
 public       | preselections_auction_id_fkey                              | preselections             | auction_id             | public               | auctions                  | id                  | FOREIGN KEY
 public       | preselections_pkey                                         | preselections             | id                     | public               | preselections             | id                  | PRIMARY KEY
 public       | purchase_files_purchase_id_fkey                            | purchase_files            | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | purchase_files_uploaded_by_fkey                            | purchase_files            | uploaded_by            |                      |                           |                     | FOREIGN KEY
 public       | purchase_files_pkey                                        | purchase_files            | id                     | public               | purchase_files            | id                  | PRIMARY KEY
 public       | purchases_auction_id_fkey                                  | purchases                 | auction_id             | public               | auctions                  | id                  | FOREIGN KEY
 public       | purchases_created_by_fkey                                  | purchases                 | created_by             |                      |                           |                     | FOREIGN KEY
 public       | purchases_machine_id_fkey                                  | purchases                 | machine_id             | public               | machines                  | id                  | FOREIGN KEY
 public       | purchases_pkey                                             | purchases                 | id                     | public               | purchases                 | id                  | PRIMARY KEY
 public       | pvp_history_pkey                                           | pvp_history               | id                     | public               | pvp_history               | id                  | PRIMARY KEY
 public       | service_records_new_purchase_id_fkey                       | service_records           | new_purchase_id        | public               | new_purchases             | id                  | FOREIGN KEY
 public       | service_records_purchase_id_fkey                           | service_records           | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | service_records_pkey                                       | service_records           | id                     | public               | service_records           | id                  | PRIMARY KEY
 public       | shipping_purchase_id_fkey                                  | shipping                  | purchase_id            | public               | purchases                 | id                  | FOREIGN KEY
 public       | shipping_pkey                                              | shipping                  | id                     | public               | shipping                  | id                  | PRIMARY KEY
 public       | suppliers_pkey                                             | suppliers                 | id                     | public               | suppliers                 | id                  | PRIMARY KEY
 public       | suppliers_name_key                                         | suppliers                 | name                   | public               | suppliers                 | name                | UNIQUE
 public       | users_profile_id_fkey                                      | users_profile             | id                     |                      |                           |                     | FOREIGN KEY
 public       | users_profile_pkey                                         | users_profile             | id                     | public               | users_profile             | id                  | PRIMARY KEY
(86 filas)

 schemaname |         tablename         |                         indexname                          |                                                                            indexdef                                                                            
------------+---------------------------+------------------------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------
 public     | auction_notification_sent | auction_notification_sent_auction_id_notification_type_key | CREATE UNIQUE INDEX auction_notification_sent_auction_id_notification_type_key ON public.auction_notification_sent USING btree (auction_id, notification_type)
 public     | auction_notification_sent | auction_notification_sent_pkey                             | CREATE UNIQUE INDEX auction_notification_sent_pkey ON public.auction_notification_sent USING btree (id)
 public     | auction_notification_sent | idx_auction_notification_sent_auction_id                   | CREATE INDEX idx_auction_notification_sent_auction_id ON public.auction_notification_sent USING btree (auction_id)
 public     | auction_notification_sent | idx_auction_notification_sent_sent_at                      | CREATE INDEX idx_auction_notification_sent_sent_at ON public.auction_notification_sent USING btree (sent_at)
 public     | auction_notification_sent | idx_auction_notification_sent_type                         | CREATE INDEX idx_auction_notification_sent_type ON public.auction_notification_sent USING btree (notification_type)
 public     | auction_price_history     | auction_price_history_pkey                                 | CREATE UNIQUE INDEX auction_price_history_pkey ON public.auction_price_history USING btree (id)
 public     | auction_price_history     | idx_auction_history_brand                                  | CREATE INDEX idx_auction_history_brand ON public.auction_price_history USING btree (brand)
 public     | auction_price_history     | idx_auction_history_hours                                  | CREATE INDEX idx_auction_history_hours ON public.auction_price_history USING btree (hours)
 public     | auction_price_history     | idx_auction_history_model                                  | CREATE INDEX idx_auction_history_model ON public.auction_price_history USING btree (model)
 public     | auction_price_history     | idx_auction_history_year                                   | CREATE INDEX idx_auction_history_year ON public.auction_price_history USING btree (year)
 public     | auctions                  | auctions_pkey                                              | CREATE UNIQUE INDEX auctions_pkey ON public.auctions USING btree (id)
 public     | auctions                  | idx_auctions_machine_id                                    | CREATE INDEX idx_auctions_machine_id ON public.auctions USING btree (machine_id)
 public     | auctions                  | idx_auctions_status                                        | CREATE INDEX idx_auctions_status ON public.auctions USING btree (status)
 public     | change_logs               | change_logs_pkey                                           | CREATE UNIQUE INDEX change_logs_pkey ON public.change_logs USING btree (id)
 public     | change_logs               | idx_change_logs_date                                       | CREATE INDEX idx_change_logs_date ON public.change_logs USING btree (changed_at DESC)
 public     | change_logs               | idx_change_logs_field_name                                 | CREATE INDEX idx_change_logs_field_name ON public.change_logs USING btree (field_name)
 public     | change_logs               | idx_change_logs_module                                     | CREATE INDEX idx_change_logs_module ON public.change_logs USING btree (module_name)
 public     | change_logs               | idx_change_logs_record                                     | CREATE INDEX idx_change_logs_record ON public.change_logs USING btree (table_name, record_id)
 public     | change_logs               | idx_change_logs_user                                       | CREATE INDEX idx_change_logs_user ON public.change_logs USING btree (changed_by)
 public     | cost_items                | additional_costs_pkey                                      | CREATE UNIQUE INDEX additional_costs_pkey ON public.cost_items USING btree (id)
 public     | cost_items                | idx_additional_costs_purchase_id                           | CREATE INDEX idx_additional_costs_purchase_id ON public.cost_items USING btree (purchase_id)
 public     | currency_rates            | currency_rates_date_pair_key                               | CREATE UNIQUE INDEX currency_rates_date_pair_key ON public.currency_rates USING btree (date, pair)
 public     | currency_rates            | currency_rates_pkey                                        | CREATE UNIQUE INDEX currency_rates_pkey ON public.currency_rates USING btree (id)
 public     | currency_rates            | idx_currency_rates_date_pair                               | CREATE INDEX idx_currency_rates_date_pair ON public.currency_rates USING btree (date, pair)
 public     | equipment_reservations    | equipment_reservations_pkey                                | CREATE UNIQUE INDEX equipment_reservations_pkey ON public.equipment_reservations USING btree (id)
 public     | equipment_reservations    | idx_equipment_reservations_commercial_user_id              | CREATE INDEX idx_equipment_reservations_commercial_user_id ON public.equipment_reservations USING btree (commercial_user_id)
 public     | equipment_reservations    | idx_equipment_reservations_equipment_id                    | CREATE INDEX idx_equipment_reservations_equipment_id ON public.equipment_reservations USING btree (equipment_id)
 public     | equipment_reservations    | idx_equipment_reservations_status                          | CREATE INDEX idx_equipment_reservations_status ON public.equipment_reservations USING btree (status)
 public     | equipments                | equipments_pkey                                            | CREATE UNIQUE INDEX equipments_pkey ON public.equipments USING btree (id)
 public     | equipments                | idx_equipments_condition                                   | CREATE INDEX idx_equipments_condition ON public.equipments USING btree (condition)
 public     | equipments                | idx_equipments_end_staging                                 | CREATE INDEX idx_equipments_end_staging ON public.equipments USING btree (end_staging)
 public     | equipments                | idx_equipments_machine_type                                | CREATE INDEX idx_equipments_machine_type ON public.equipments USING btree (machine_type)
 public     | equipments                | idx_equipments_mq                                          | CREATE INDEX idx_equipments_mq ON public.equipments USING btree (mq) WHERE (mq IS NOT NULL)
 public     | equipments                | idx_equipments_new_purchase_id                             | CREATE INDEX idx_equipments_new_purchase_id ON public.equipments USING btree (new_purchase_id)
 public     | equipments                | idx_equipments_purchase_id                                 | CREATE INDEX idx_equipments_purchase_id ON public.equipments USING btree (purchase_id)
 public     | equipments                | idx_equipments_purchase_or_new                             | CREATE INDEX idx_equipments_purchase_or_new ON public.equipments USING btree (COALESCE((purchase_id)::text, (new_purchase_id)::text))
 public     | equipments                | idx_equipments_staging_type                                | CREATE INDEX idx_equipments_staging_type ON public.equipments USING btree (staging_type)
 public     | equipments                | idx_equipments_start_staging                               | CREATE INDEX idx_equipments_start_staging ON public.equipments USING btree (start_staging)
 public     | equipments                | idx_equipments_state                                       | CREATE INDEX idx_equipments_state ON public.equipments USING btree (state)
 public     | machine_files             | idx_machine_files_file_type                                | CREATE INDEX idx_machine_files_file_type ON public.machine_files USING btree (file_type)
 public     | machine_files             | idx_machine_files_machine_id                               | CREATE INDEX idx_machine_files_machine_id ON public.machine_files USING btree (machine_id)
 public     | machine_files             | idx_machine_files_uploaded_by                              | CREATE INDEX idx_machine_files_uploaded_by ON public.machine_files USING btree (uploaded_by)
 public     | machine_files             | machine_files_pkey                                         | CREATE UNIQUE INDEX machine_files_pkey ON public.machine_files USING btree (id)
 public     | machine_movements         | idx_machine_movements_condition                            | CREATE INDEX idx_machine_movements_condition ON public.machine_movements USING btree (condition)
 public     | machine_movements         | idx_machine_movements_movement_date                        | CREATE INDEX idx_machine_movements_movement_date ON public.machine_movements USING btree (movement_date)
 public     | machine_movements         | idx_machine_movements_purchase_id                          | CREATE INDEX idx_machine_movements_purchase_id ON public.machine_movements USING btree (purchase_id)
 public     | machine_movements         | machine_movements_pkey                                     | CREATE UNIQUE INDEX machine_movements_pkey ON public.machine_movements USING btree (id)
 public     | machine_spec_defaults     | idx_machine_spec_defaults_brand                            | CREATE INDEX idx_machine_spec_defaults_brand ON public.machine_spec_defaults USING btree (brand)
 public     | machine_spec_defaults     | idx_machine_spec_defaults_brand_model                      | CREATE INDEX idx_machine_spec_defaults_brand_model ON public.machine_spec_defaults USING btree (brand, model)
 public     | machine_spec_defaults     | machine_spec_defaults_brand_model_key                      | CREATE UNIQUE INDEX machine_spec_defaults_brand_model_key ON public.machine_spec_defaults USING btree (brand, model)
 public     | machine_spec_defaults     | machine_spec_defaults_pkey                                 | CREATE UNIQUE INDEX machine_spec_defaults_pkey ON public.machine_spec_defaults USING btree (id)
 public     | machines                  | idx_machines_brand                                         | CREATE INDEX idx_machines_brand ON public.machines USING btree (brand)
 public     | machines                  | idx_machines_brand_model                                   | CREATE INDEX idx_machines_brand_model ON public.machines USING btree (brand, model)
 public     | machines                  | idx_machines_capacidad                                     | CREATE INDEX idx_machines_capacidad ON public.machines USING btree (capacidad)
 public     | machines                  | idx_machines_engine_brand                                  | CREATE INDEX idx_machines_engine_brand ON public.machines USING btree (engine_brand)
 public     | machines                  | idx_machines_machine_type                                  | CREATE INDEX idx_machines_machine_type ON public.machines USING btree (machine_type)
 public     | machines                  | idx_machines_serial                                        | CREATE INDEX idx_machines_serial ON public.machines USING btree (serial)
 public     | machines                  | idx_machines_tonelage                                      | CREATE INDEX idx_machines_tonelage ON public.machines USING btree (tonelage)
 public     | machines                  | machines_pkey                                              | CREATE UNIQUE INDEX machines_pkey ON public.machines USING btree (id)
 public     | machines                  | machines_serial_key                                        | CREATE UNIQUE INDEX machines_serial_key ON public.machines USING btree (serial)
 public     | management_table          | idx_management_table_machine_id                            | CREATE INDEX idx_management_table_machine_id ON public.management_table USING btree (machine_id)
 public     | management_table          | management_table_machine_id_key                            | CREATE UNIQUE INDEX management_table_machine_id_key ON public.management_table USING btree (machine_id)
 public     | management_table          | management_table_pkey                                      | CREATE UNIQUE INDEX management_table_pkey ON public.management_table USING btree (id)
 public     | model_specifications      | idx_model_specs_condition                                  | CREATE INDEX idx_model_specs_condition ON public.model_specifications USING btree (condition)
 public     | model_specifications      | idx_model_specs_model                                      | CREATE INDEX idx_model_specs_model ON public.model_specifications USING btree (model)
 public     | model_specifications      | model_specifications_model_condition_key                   | CREATE UNIQUE INDEX model_specifications_model_condition_key ON public.model_specifications USING btree (model, condition)
 public     | model_specifications      | model_specifications_pkey                                  | CREATE UNIQUE INDEX model_specifications_pkey ON public.model_specifications USING btree (id)
 public     | new_purchase_files        | idx_new_purchase_files_file_type                           | CREATE INDEX idx_new_purchase_files_file_type ON public.new_purchase_files USING btree (file_type)
 public     | new_purchase_files        | idx_new_purchase_files_new_purchase                        | CREATE INDEX idx_new_purchase_files_new_purchase ON public.new_purchase_files USING btree (new_purchase_id)
 public     | new_purchase_files        | idx_new_purchase_files_new_purchase_id                     | CREATE INDEX idx_new_purchase_files_new_purchase_id ON public.new_purchase_files USING btree (new_purchase_id)
 public     | new_purchase_files        | idx_new_purchase_files_scope                               | CREATE INDEX idx_new_purchase_files_scope ON public.new_purchase_files USING btree (scope)
 public     | new_purchase_files        | idx_new_purchase_files_uploaded_by                         | CREATE INDEX idx_new_purchase_files_uploaded_by ON public.new_purchase_files USING btree (uploaded_by)
 public     | new_purchase_files        | new_purchase_files_pkey                                    | CREATE UNIQUE INDEX new_purchase_files_pkey ON public.new_purchase_files USING btree (id)
 public     | new_purchases             | idx_new_purchases_condition                                | CREATE INDEX idx_new_purchases_condition ON public.new_purchases USING btree (condition)
 public     | new_purchases             | idx_new_purchases_created_at                               | CREATE INDEX idx_new_purchases_created_at ON public.new_purchases USING btree (created_at DESC)
 public     | new_purchases             | idx_new_purchases_model_serial                             | CREATE INDEX idx_new_purchases_model_serial ON public.new_purchases USING btree (model, serial)
 public     | new_purchases             | idx_new_purchases_mq                                       | CREATE INDEX idx_new_purchases_mq ON public.new_purchases USING btree (mq)
 public     | new_purchases             | idx_new_purchases_synced_to                                | CREATE INDEX idx_new_purchases_synced_to ON public.new_purchases USING btree (synced_to_equipment_id)
 public     | new_purchases             | new_purchases_model_serial_unique                          | CREATE UNIQUE INDEX new_purchases_model_serial_unique ON public.new_purchases USING btree (model, serial)
 public     | new_purchases             | new_purchases_mq_key                                       | CREATE UNIQUE INDEX new_purchases_mq_key ON public.new_purchases USING btree (mq)
 public     | new_purchases             | new_purchases_pkey                                         | CREATE UNIQUE INDEX new_purchases_pkey ON public.new_purchases USING btree (id)
 public     | notification_rules        | idx_rules_active                                           | CREATE INDEX idx_rules_active ON public.notification_rules USING btree (is_active)
 public     | notification_rules        | idx_rules_module_source                                    | CREATE INDEX idx_rules_module_source ON public.notification_rules USING btree (module_source)
 public     | notification_rules        | idx_rules_trigger_event                                    | CREATE INDEX idx_rules_trigger_event ON public.notification_rules USING btree (trigger_event)
 public     | notification_rules        | notification_rules_pkey                                    | CREATE UNIQUE INDEX notification_rules_pkey ON public.notification_rules USING btree (id)
